Ano,Empresa,Capital,Trabalho,Producao
1963,3355,221.099999999248,0.458709859767979,1.18387618219552
1964,3355,226.199999999543,0.471918808911911,1.06347900599887
1965,3355,238.899999999579,0.515485383807396,1.12884773922407
1966,3355,258.699999999487,0.577276017173674,1.32900357799828
1967,3355,272.499999999101,0.532295815153389,1.40612247124415
1968,3355,285.600000001305,0.548732718455317,1.4485363696868
1969,3355,296.300000000142,0.581967107647721,1.49006071040268
1970,3355,315.900000000619,0.51787301041071,1.29735197453383
1971,3355,324.299999998939,0.528681576145212,1.2835778651602
1972,3355,329.700000000763,0.855765912304749,1.39701956624126
1973,3355,335.700000001346,0.981136532738248,2.62252023809596
1974,3355,348.199999998576,0.965689167974166,2.90342072214729
1975,3355,366.799999999153,0.701591229933552,2.75403629207531
1976,3355,381.100000000071,0.867413617826195,2.98368278268526
1977,3355,394.000000000814,0.97363260205466,3.83938661483318
1978,3355,406.099999999085,1.11190006223408,3.85061772638149
1979,3355,433.099999999748,1.15811169067295,5.69850342153057
1980,3355,466.500000001214,1.09188715049521,7.42292895959173
1981,3355,474.299999998323,1.03352856054869,6.10167402891715
1982,3355,476.300000001517,0.51746788921545,0.359417742058143
1983,3355,457.1999999997,0.458466054313097,1.56914794510568
1984,3355,448.500000000515,0.423510079798574,1.81023411031834
1985,3355,443.299999999553,0.400022392617225,1.77694157562693
1986,3355,432.799999999017,0.364599435686256,1.26373872199205
1987,3355,413.599999998255,0.170000000000319,1.093
1988,3355,396.499999998056,0.16441476263199,1.57354599295003
1989,3355,384.299999999693,0.145321163719828,0.469499144323329
1990,3355,365.199999999703,0.13089669719987,0.489517785418905
1991,3355,347.900000000732,0.187743544698576,0.77952504042981
1992,3355,341.099999998431,0.257608139374606,1.08533265278029
1993,3355,328.599999998959,0.245794348299596,1.57869255921048
1994,3355,314.799999998977,0.189873831411491,1.44384909247185
1958,3313,1073.30000000271,1.75678645713033,6.41406320777381
1959,3313,1056.59999999977,1.98527422303434,6.54431467095982
1960,3313,1081.70000000406,1.83519321766211,5.07911570525961
1961,3313,1061.7000000005,1.69414196568115,5.07896846443906
1962,3313,1031.79999999943,1.75650269319478,5.48779190939276
1963,3313,1044.79999999774,1.71341624089902,4.90752092617191
1964,3313,1058.19999999997,1.96078941731102,5.01164481578558
1965,3313,1070.29999999965,1.93470147213835,7.07324248163461
1966,3313,1097.80000000462,1.77623389899521,6.27391187897313
1967,3313,1132.30000000001,1.80303669179083,5.94448274494592
1968,3313,1171.10000000223,1.87336170010378,5.82659741371135
1969,3313,1202.09999999975,1.92021031170833,6.51128416092476
1970,3313,1208.70000000555,1.92734182224921,5.31220252946957
1971,3313,1216.3999999961,1.8020924879184,6.19675808964435
1972,3313,1248.00000000078,1.74810301744346,5.29550872226979
1973,3313,1265.09999999921,1.78451421130943,4.85489441964127
1974,3313,1324.8999999946,1.8085494505476,9.03004081633433
1975,3313,1401.8999999937,1.63575413829781,7.38415079019957
1976,3313,1460.60000000583,1.61746048820891,5.31634688812657
1977,3313,1525.60000000578,1.79045004165506,4.73202677034295
1978,3313,1537.49999999897,1.74428316564491,3.99543828441589
1979,3313,1541.399999994,2.01184787289947,6.36664478157746
1980,3313,1501.99999999387,1.74593163292075,5.60221053553077
1981,3313,1469.40000000562,1.54718354912467,4.67513099771651
1982,3313,1511.40000000511,1.00098426533794,2.11084752094075
1983,3313,1451.99999999312,0.797528173104748,2.16842052715591
1984,3313,1377.39999999918,0.974073183536523,3.59983567828691
1985,3313,1323.89999999522,0.848468548551105,3.30439550110802
1986,3313,1257.4999999951,0.686971253111734,2.13300969294521
1987,3313,1209.4999999999,0.747000000000239,2.95600000001196
1988,3313,1178.40000000186,1.00583148903968,4.91696854836355
1989,3313,1147.30000000563,1.06103080433375,4.84124415285398
1990,3313,1112.49999999956,0.966483832750205,3.86593533099699
1991,3313,1069.19999999491,0.921414170985027,3.23489914115358
1992,3313,1035.50000000452,0.948504723013414,3.49840299439878
1993,3313,990.399999999671,0.913893080253937,3.15078661241462
1994,3313,949.100000003373,0.919474128278334,3.23916676647792
1958,3356,466.799999998879,2.05794984978147,6.25989623295908
1959,3356,487.500000001023,2.41778039305188,7.68939248171938
1960,3356,514.600000001213,2.36652534925273,6.47386255070882
1961,3356,548.699999997295,2.58270213951762,7.70661722758702
1962,3356,613.599999998131,2.80017225457505,7.38754336591791
1963,3356,670.599999998573,2.49929416241221,8.45240373959079
1964,3356,716.199999996897,2.52908601114205,8.39151403172338
1965,3356,835.999999996069,2.74381777077233,9.5038539432674
1966,3356,951.500000003612,3.29554825187576,12.0561875893932
1967,3356,1071.7999999992,3.08916184054369,10.8212970051465
1968,3356,1201.40000000473,2.90592326710059,10.3993700674982
